time (s)	magX	magY	magZ
4733.326369	401.682068	324.144348	951.355957
4733.329694	406.708374	326.949738	941.186462
4733.333019	409.747498	328.936859	930.607849
4733.335947	414.247803	331.508453	919.152588
4733.339266	418.338989	333.495605	907.989563
4733.342591	421.436584	335.424316	897.410889
4733.345976	425.644653	337.645233	885.663330
4733.349244	429.151367	339.807709	874.149658
4733.352567	432.482727	341.677948	862.577454
4733.355473	434.937439	343.489746	851.180603
4733.358840	438.327271	345.243134	839.959106
4733.362149	440.957336	346.645813	828.854492
4733.365482	444.230286	348.106934	816.873230
4733.368812	446.860291	348.866730	805.885437
4733.372158	448.613708	349.977203	794.722412
4733.375480	450.425476	351.204559	783.500916
4733.378816	453.230835	352.256561	772.571594
4733.382142	454.808899	353.074799	762.460571
4733.385477	455.276428	354.185242	751.881958
4733.388806	457.555786	355.529510	742.530701
4733.392145	458.783203	355.412598	732.302734
4733.395478	459.192261	355.763275	722.659302
4733.398816	459.718323	355.938599	713.132690
4733.402167	460.653442	356.639954	703.547668
4733.405474	461.939209	357.049103	696.183533
4733.408806	462.523682	356.990631	687.533630
4733.412143	463.166565	357.516663	679.760376
4733.415491	463.751038	356.873749	672.396240
4733.418804	464.043274	357.049103	664.739929
4733.422142	463.867920	356.815308	657.726501
4733.425471	463.283508	357.224426	651.355957
4733.428802	463.926331	355.997070	645.394531
4733.432134	463.049683	356.055511	637.329041
4733.435471	463.341919	356.581543	630.900085
4733.438807	462.932800	355.763275	624.237305
4733.442140	462.932800	355.763275	617.925232
4733.445468	463.926331	355.061951	612.139099
4733.448804	462.114563	355.003479	606.236084
4733.452133	462.406738	354.068359	599.690247
4733.455476	462.114563	354.302155	593.378174
4733.458809	462.991211	353.659271	587.708923
4733.462138	462.465210	353.367035	581.338379
4733.466797	461.120972	351.672119	568.480408
4733.469665	460.361206	351.672119	561.817688
4733.472976	460.244324	351.204559	556.382263
4733.476360	459.075378	350.795410	550.245483
4733.479684	459.250732	349.334290	544.926941
4733.483061	458.257141	348.983643	537.562805
4733.486391	457.029785	348.106934	531.542969
4733.489284	456.679138	347.171814	524.938660
4733.492575	456.270020	347.464050	518.451172
4733.495886	456.328491	346.412018	512.255981
4733.499234	454.750427	346.236694	507.171265
4733.502563	453.406189	345.476898	501.268280
4733.505891	453.698425	344.834015	494.897736
4733.509229	451.302185	343.723541	489.696106
4733.512135	451.828186	342.963745	484.669800
4733.515459	450.016357	342.496185	479.292816
4733.518796	449.256592	342.262421	474.324982
4733.522130	448.730530	340.976593	469.181763
4733.525462	447.094116	340.275269	463.687927
4733.528792	446.860291	339.398590	459.772095
4733.532137	445.983643	338.755676	454.512024
4733.535464	445.165405	338.288116	451.297516
4733.538853	444.054932	338.229675	447.498535
4733.542153	443.762695	337.060760	443.874908
4733.545474	442.301575	337.002319	441.653992
4733.548792	442.301575	335.599640	439.257751
4733.552125	441.249573	335.599640	436.393921
4733.555460	440.197571	335.833405	434.348328
4733.558796	439.905273	335.132080	432.478088
4733.562168	439.262451	334.606049	428.737579
4733.565465	438.970154	334.255402	427.685577
4733.568792	437.742859	333.086487	425.932190
4733.572122	437.450623	333.203369	424.003540
4733.575473	437.099915	332.794281	421.782562
4733.578788	436.515503	331.976013	420.379913
4733.582126	435.580383	332.092926	418.217468
4733.585460	435.346619	331.566925	417.340729
4733.588790	434.879028	330.748657	415.353607
4733.592120	434.586792	330.982452	414.009369
4733.595454	433.476318	330.222656	412.665100
4733.598786	433.125671	329.813538	410.268860
4733.602123	432.599670	329.579773	408.164825
4733.605476	431.606079	328.703064	406.294556
4733.608786	432.248962	328.819977	405.242584
4733.612119	430.554077	328.469299	403.080078
4733.615457	430.378723	328.527740	401.151398
4733.618801	429.794250	327.826416	398.988892
4733.623410	429.502075	327.358856	394.956207
4733.626329	429.443604	326.599060	391.741699
4733.629670	428.800720	325.839264	390.923431
4733.633109	427.222656	326.248383	388.585632
4733.636394	427.222656	325.079468	387.007599
4733.639736	426.579773	326.014587	385.897156
4733.643008	426.287537	325.488586	384.728241
4733.645877	425.527771	325.137909	383.208679
4733.649234	425.001770	324.611908	381.864410
4733.652547	425.294006	324.553467	381.455322
4733.655871	424.651062	324.845703	380.520203
4733.659202	425.235535	324.728821	380.753967
4733.662564	424.768005	324.378143	379.468170
4733.665452	424.066650	324.495026	379.292847
4733.668781	424.826416	324.962585	379.000610
4733.672120	423.715942	325.196381	379.526611
4733.675479	423.832886	324.728821	379.526611
4733.678787	424.417297	325.079468	380.111053
4733.682120	423.540649	325.137909	381.338409
4733.685480	423.891296	325.780823	381.221527
4733.688782	424.709534	326.306824	383.208679
4733.692126	424.125061	326.423737	384.436035
4733.695451	425.060242	327.241943	385.020477
4733.698781	425.235535	327.241943	386.306274
4733.702111	425.294006	327.475739	388.936310
4733.705441	425.469299	328.118652	389.111633
4733.708779	426.287537	328.586212	391.215698
4733.712108	425.878418	329.170654	392.267700
4733.715447	426.346008	328.703064	395.014618
4733.718772	427.339539	329.287537	396.884857
4733.722114	426.988892	329.404449	399.339569
4733.725444	427.865601	330.047333	400.099365
4733.728798	428.625366	330.690216	402.670990
4733.732106	429.677368	331.216217	404.190521
4733.735440	428.800720	331.566925	405.593231
4733.738774	429.502075	331.976013	407.405029
4733.742123	430.028015	332.502045	408.749268
4733.745440	429.677368	332.618927	410.151978
4733.748780	431.021606	334.080048	411.846924
4733.752108	430.963196	334.196960	413.424896
4733.755440	430.495605	334.956757	415.002960
4733.758779	431.138550	335.190521	416.288757
4733.762106	431.898315	336.534760	417.399200
4733.765438	431.956726	336.593201	419.620117
4733.768776	432.541199	337.294556	421.665710
4733.772142	432.950317	337.645233	422.951508
4733.776797	433.885437	339.164825	426.750458
4733.779650	434.820618	339.281677	429.322052
4733.783042	435.054321	339.690826	430.724762
4733.786357	435.054321	341.444153	434.114594
4733.789615	435.989441	341.677948	436.627716
4733.792956	435.989441	342.203949	439.608429
4733.796300	437.450623	342.846863	442.472260
4733.799648	437.509033	344.541779	445.511414
4733.802528	438.035034	344.892426	448.492126
4733.805880	439.145569	345.710693	452.583313
4733.809218	439.788452	346.704254	457.609589
4733.812554	440.022217	347.405609	460.824097
4733.815947	440.665100	348.516083	464.915253
4733.819192	440.898865	349.334290	472.279388
4733.822105	442.184692	350.795410	477.013489
4733.825433	442.944458	351.379883	482.039764
4733.828761	443.295105	351.789001	486.540070
4733.832099	443.178284	352.256561	492.209229
4733.835437	444.288696	353.834595	497.118652
4733.838768	445.457642	355.354187	502.378723
4733.842101	445.516113	356.113953	508.983093
4733.845430	447.035645	356.639954	513.950928
4733.848761	446.918762	357.808868	520.087708
4733.852100	448.029236	358.743988	525.114014
4733.855431	448.204529	359.503784	531.601440
4733.858787	448.321472	360.380463	536.686157
4733.862100	448.613708	360.906464	542.063110
4733.865435	449.490356	361.081818	547.673889
4733.868764	449.548828	361.549377	553.109314
4733.872093	450.191711	362.601379	559.830505
4733.875446	450.250122	363.711853	564.973694
4733.878765	450.367065	363.594971	570.350708
4733.882095	451.652832	364.880768	575.435425
4733.885423	450.600830	366.049652	581.747498
4733.888764	451.828186	366.751007	588.468750
4733.892095	451.302185	367.101685	593.495056
4733.895423	451.828186	367.160126	598.755127
4733.898762	452.003540	367.569244	604.599670
4733.902132	451.535950	368.212128	612.080627
4733.905430	452.412659	369.381042	617.457642
4733.908764	451.886658	369.848602	623.009949
4733.912087	451.711243	370.666840	628.679138
4733.915421	451.652832	371.426636	634.932800
