time (s)	det(V)
3466.130494	-1.260118	
3466.132039	-1.267510	
3466.133753	-1.318352	
3466.135238	-1.352181	
3466.137020	-1.367453	
3466.138501	-1.411103	
3466.140285	-1.388505	
3466.141776	-1.467190	
3466.143560	-1.408304	
3466.145042	-1.482477	
3466.146839	-1.422568	
3466.148324	-1.506724	
3466.150072	-1.439298	
3466.151568	-1.517218	
3466.153305	-1.448925	
3466.154830	-1.524770	
3466.156583	-1.473514	
3466.158103	-1.525580	
3466.159818	-1.488085	
3466.161356	-1.526277	
3466.163064	-1.491767	
3466.164612	-1.526446	
3466.166327	-1.503702	
3466.167887	-1.526402	
3466.169533	-1.511489	
3466.171126	-1.526628	
3466.172778	-1.524674	
3466.174366	-1.526712	
3466.176007	-1.526189	
3466.177625	-1.526603	
3466.179243	-1.526769	
3466.180872	-1.526495	
3466.182485	-1.526769	
3466.184152	-1.526535	
3466.185743	-1.526789	
3466.187391	-1.526088	
3466.188976	-1.526801	
3466.190655	-1.526769	
3466.192217	-1.526825	
3466.193922	-1.526724	
3466.195463	-1.526873	
3466.197170	-1.526781	
3466.198723	-1.526765	
3466.200444	-1.526801	
3466.201958	-1.526873	
3466.203711	-1.526817	
3466.205209	-1.526918	
3466.206999	-1.526853	
3466.208478	-1.526910	
3466.210269	-1.526922	
3466.211759	-1.526857	
3466.213527	-1.526902	
3466.215012	-1.526906	
3466.216798	-1.526885	
3466.218284	-1.526906	
3466.220071	-1.526841	
3466.221565	-1.526970	
3466.223328	-1.526946	
3466.224841	-1.526902	
3466.226582	-1.526998	
3466.228126	-1.527014	
3466.229626	-1.526946	
3466.231226	-1.526946	
3466.232720	-1.526942	
3466.234357	-1.527018	
3466.235874	-1.526942	
3466.237520	-1.526974	
3466.238993	-1.526938	
3466.240632	-1.526954	
3466.242112	-1.527018	
3466.243745	-1.526773	
3466.245226	-1.527018	
3466.246864	-1.526930	
3466.248368	-1.527030	
3466.249973	-1.526910	
3466.251505	-1.526994	
3466.253062	-1.526966	
3466.254624	-1.527047	
3466.256234	-1.526938	
3466.257810	-1.527010	
3466.259396	-1.526918	
3466.261008	-1.527027	
3466.262560	-1.526930	
3466.264184	-1.527123	
3466.265675	-1.526914	
3466.267380	-1.527006	
3466.268856	-1.526930	
3466.270593	-1.526950	
3466.272065	-1.527047	
3466.273792	-1.527047	
3466.275326	-1.526865	
3466.277072	-1.526974	
3466.278577	-1.526893	
3466.280329	-1.527026	
3466.281823	-1.526966	
3466.283606	-1.527071	
3466.285088	-1.526926	
3466.286878	-1.526922	
3466.288362	-1.526986	
3466.290122	-1.527063	
3466.291603	-1.526962	
3466.293358	-1.526873	
3466.294866	-1.526990	
3466.296610	-1.526986	
3466.298127	-1.527067	
3466.299856	-1.526958	
3466.301385	-1.526970	
3466.303096	-1.526914	
3466.304640	-1.526954	
3466.306343	-1.526938	
3466.307899	-1.526998	
3466.309591	-1.526910	
