time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3871.984450	156.732239	-0.471654	0.096334	101
3874.030085	156.888779	-0.460820	0.094606	103
3876.074293	156.989807	-0.449661	0.092811	105
3878.114381	157.051712	-0.440414	0.091347	107
3880.154248	156.766220	-0.428586	0.089370	109
3882.203055	156.591354	-0.417973	0.087615	111
3884.239012	156.847427	-0.407171	0.085721	113
3886.280539	156.603897	-0.397417	0.084431	115
3888.323486	156.460205	-0.388170	0.083132	117
3890.366459	156.024918	-0.379267	0.081600	119
3892.398414	155.665207	-0.371448	0.080067	121
3894.436767	155.171860	-0.362919	0.078513	123
3896.470279	154.224136	-0.355110	0.077048	125
3898.496263	153.256256	-0.347231	0.076189	127
3900.525520	152.847733	-0.338552	0.074148	129
3902.558278	152.269791	-0.328217	0.073021	131
3904.593961	151.831116	-0.318544	0.071330	133
3906.629735	151.965729	-0.308804	0.069848	135
3908.685801	152.335541	-0.299804	0.068041	137
3910.733644	152.721848	-0.291337	0.066146	139
3912.789454	153.369522	-0.284639	0.064125	141
3914.846780	154.296127	-0.277482	0.062667	143
3916.899879	155.035812	-0.270937	0.061055	145
3918.939352	155.583023	-0.264535	0.060155	147
3920.998226	156.094482	-0.259217	0.059055	149
3923.034657	156.933594	-0.251741	0.058488	151
3925.084383	156.923248	-0.245962	0.057406	153
3927.131265	156.620499	-0.242094	0.056032	155
3929.154316	157.232254	-0.236041	0.055018	157
3931.204748	157.317825	-0.228718	0.053698	159
3933.230122	156.557098	-0.225364	0.052491	161
3935.264751	155.201630	-0.220227	0.051316	163
3937.312607	153.716019	-0.216080	0.050135	165
3939.310756	152.051376	-0.210047	0.049486	167
3941.332557	180.617981	-0.145071	0.072241	169
3942.424880	310.243927	-0.147810	0.064319	171
3944.480168	337.353119	-0.195611	0.048609	173
3946.525707	337.663391	-0.192792	0.048171	175
3948.561168	337.227875	-0.188112	0.047690	177
3950.601639	335.723022	-0.185789	0.046066	179
3952.624926	334.159698	-0.181737	0.044655	181
3954.646587	332.596069	-0.178090	0.043569	183
3956.679734	331.145111	-0.172976	0.042598	185
3958.714236	331.173096	-0.169897	0.041175	187
