crossing time (s)	slope (V/s)	crossing number
4096.457206	19.816339	6219
4097.450643	21.621932	6220
4098.518810	17.045701	6221
4099.502069	21.599827	6222
4100.565348	17.681282	6223
4101.534380	19.192289	6224
4102.578978	16.558716	6225
4103.567527	18.323188	6226
4104.664017	19.389683	6227
4105.638913	18.037209	6228
4106.671480	17.738110	6229
4107.683049	18.288020	6230
4108.740377	16.283282	6231
4109.732663	13.926693	6232
4110.756696	16.561741	6233
4111.758470	13.748400	6234
4112.813792	14.888185	6235
4113.814706	14.661891	6236
4114.813890	12.707971	6237
4115.861145	12.388750	6238
4116.865036	10.683253	6239
4117.866607	13.276070	6240
4118.906740	12.227146	6241
4119.944129	10.787864	6242
4120.957488	13.079641	6243
4121.991964	11.038045	6244
4122.988117	11.018655	6245
4124.012626	11.765722	6246
4124.991550	11.454255	6247
4126.069064	9.956655	6248
4127.037751	10.884121	6249
4128.134299	9.648472	6250
4129.109224	9.822260	6251
4130.171347	9.964537	6252
4131.169294	9.874229	6253
4132.210356	7.522148	6254
4133.175659	8.348917	6255
4134.247520	8.921509	6256
4135.249453	9.744738	6257
4136.242327	7.434011	6258
4137.254871	9.425635	6259
4138.299199	8.215345	6260
4139.317894	8.511140	6261
4140.330127	8.417456	6262
4141.409557	6.702189	6263
4142.377679	7.113433	6264
4143.420071	6.030320	6265
4144.358918	5.254225	6266
4145.453836	7.238014	6267
4146.431023	7.724871	6268
4147.496948	7.223068	6269
4148.512524	5.097800	6270
4149.604692	5.357635	6271
4150.507512	2.993299	6272
4151.575386	6.124862	6273
4152.581341	6.187659	6274
4153.670233	5.208679	6275
4154.619933	7.568320	6276
4155.702575	6.090221	6277
4156.650239	6.202744	6278
4157.724076	5.672301	6279
4158.734143	1.503179	6280
4159.763777	3.520533	6281
4160.793406	5.584456	6282
4161.775236	4.118782	6283
