time (s)	det(V)
7041.792778	-0.133248	
7041.794258	-0.191920	
7041.796032	-0.189926	
7041.797512	-0.244816	
7041.799277	-0.232079	
7041.800755	-0.340311	
7041.802511	-0.309608	
7041.804004	-0.387229	
7041.805771	-0.352147	
7041.807267	-0.439590	
7041.809005	-0.363938	
7041.810522	-0.516546	
7041.812216	-0.391749	
7041.813749	-0.556652	
7041.815457	-0.446542	
7041.817003	-0.669063	
7041.818700	-0.493863	
7041.820253	-0.719747	
7041.821938	-0.548382	
7041.823501	-0.747498	
7041.825171	-0.567412	
7041.826752	-0.794428	
7041.828400	-0.619498	
7041.830010	-0.821780	
7041.831635	-0.655757	
7041.833274	-0.873013	
7041.834890	-0.712528	
7041.836561	-0.815005	
7041.838165	-0.760630	
7041.839816	-0.870769	
7041.841398	-0.760135	
7041.843078	-0.907777	
7041.844641	-0.813708	
7041.846356	-0.941458	
7041.847891	-0.861665	
7041.849589	-0.930263	
7041.851133	-0.894576	
7041.852857	-0.938074	
7041.854371	-0.931681	
7041.856126	-0.922581	
7041.857603	-0.941442	
7041.859386	-0.954248	
7041.860863	-1.005649	
7041.862630	-0.931141	
7041.864112	-1.019853	
7041.865897	-0.963154	
7041.867393	-1.065127	
7041.869144	-0.992561	
7041.870637	-1.049840	
7041.872386	-0.970276	
7041.873897	-1.077978	
7041.875621	-0.975086	
7041.877140	-1.074030	
7041.878842	-0.977584	
7041.880382	-1.144179	
7041.882096	-0.995558	
7041.883672	-1.149907	
7041.885161	-1.111985	
7041.886827	-1.129053	
7041.888321	-1.161694	
7041.889956	-1.185598	
7041.891489	-1.134688	
7041.893119	-1.161380	
7041.894606	-1.261987	
7041.896240	-1.164764	
7041.897730	-1.271055	
7041.899352	-1.177026	
7041.900834	-1.321260	
7041.902452	-1.231469	
7041.903945	-1.323810	
7041.905520	-1.295487	
7041.907062	-1.368291	
7041.908689	-1.257125	
7041.910252	-1.398958	
7041.911829	-1.340999	
7041.913439	-1.424909	
7041.914984	-1.363859	
7041.916622	-1.473816	
7041.918118	-1.448494	
7041.919820	-1.493930	
7041.921291	-1.493342	
7041.923026	-1.502329	
7041.924499	-1.520182	
7041.926203	-1.508528	
7041.927684	-1.525979	
7041.929392	-1.524988	
7041.930877	-1.526491	
7041.932669	-1.526668	
7041.934143	-1.526797	
7041.935935	-1.526587	
7041.937409	-1.526821	
7041.939167	-1.526906	
7041.940659	-1.526757	
7041.942414	-1.526748	
7041.943914	-1.526881	
7041.945658	-1.526869	
7041.947187	-1.526926	
7041.948928	-1.526849	
7041.950453	-1.526946	
7041.952178	-1.526801	
7041.953715	-1.526938	
7041.955423	-1.526817	
7041.956976	-1.526861	
7041.958684	-1.526898	
7041.960252	-1.526902	
7041.961923	-1.526833	
7041.963481	-1.527027	
7041.965148	-1.526926	
7041.966739	-1.526918	
7041.968386	-1.526813	
7041.970010	-1.526942	
7041.971626	-1.526837	
7041.973262	-1.526877	
7041.974871	-1.526873	
7041.976522	-1.526946	
7041.978125	-1.526906	
7041.979783	-1.526906	
7041.981363	-1.526890	
7041.983043	-1.526970	
7041.984596	-1.526926	
7041.986306	-1.526930	
7041.987853	-1.526898	
7041.989564	-1.526898	
7041.991104	-1.526938	
7041.992793	-1.526998	
7041.994305	-1.526886	
7041.996071	-1.526958	
7041.997547	-1.526902	
7041.999332	-1.526906	
7042.000818	-1.526853	
7042.002604	-1.526877	
7042.004083	-1.527030	
7042.005867	-1.526893	
7042.007342	-1.526906	
7042.009116	-1.527002	
7042.010623	-1.526958	
7042.012380	-1.526934	
7042.013885	-1.526966	
7042.015598	-1.526934	
7042.017114	-1.527026	
7042.018830	-1.526869	
7042.020369	-1.527006	
7042.022051	-1.526902	
7042.023610	-1.526918	
7042.025294	-1.526906	
7042.026860	-1.526898	
7042.028514	-1.526998	
7042.030094	-1.526962	
7042.031738	-1.526881	
7042.033343	-1.527010	
7042.034974	-1.526922	
7042.036600	-1.526946	
7042.038221	-1.526893	
7042.039891	-1.526938	
7042.041369	-1.527063	
7042.042941	-1.526946	
7042.044444	-1.527071	
7042.046066	-1.526857	
7042.047552	-1.527014	
7042.049180	-1.527067	
7042.050683	-1.527030	
7042.052261	-1.527030	
7042.053812	-1.527043	
7042.055354	-1.527063	
7042.056963	-1.526938	
7042.058455	-1.526946	
7042.060102	-1.526990	
7042.061601	-1.526922	
7042.063261	-1.526994	
7042.064749	-1.527010	
7042.066469	-1.526978	
7042.067957	-1.526886	
7042.069696	-1.526962	
7042.071168	-1.526918	
7042.072890	-1.526962	
7042.074377	-1.527010	
7042.076080	-1.527038	
7042.077559	-1.526962	
7042.079259	-1.526934	
7042.080749	-1.526970	
7042.082422	-1.526954	
7042.083932	-1.526998	
7042.085572	-1.527002	
7042.087102	-1.526946	
7042.088812	-1.526982	
7042.090354	-1.527002	
7042.092049	-1.526970	
7042.093593	-1.527043	
7042.095291	-1.526893	
7042.096862	-1.526966	
7042.098527	-1.526817	
7042.100118	-1.526982	
7042.101765	-1.526946	
7042.103377	-1.526918	
7042.105013	-1.526930	
7042.106612	-1.526946	
7042.108235	-1.526889	
7042.109890	-1.527091	
7042.111481	-1.526817	
7042.113149	-1.527022	
7042.114729	-1.526885	
7042.116400	-1.526914	
7042.117978	-1.526845	
7042.119655	-1.526970	
7042.121211	-1.527010	
7042.122904	-1.526902	
7042.124456	-1.526873	
7042.126186	-1.526938	
7042.127714	-1.527022	
7042.129433	-1.526906	
7042.130929	-1.526869	
7042.132703	-1.527030	
7042.134190	-1.526930	
7042.135968	-1.526857	
7042.137458	-1.526857	
7042.139238	-1.526889	
7042.140720	-1.526942	
7042.142514	-1.526926	
7042.143991	-1.526954	
7042.145747	-1.526922	
7042.147247	-1.526881	
7042.148987	-1.526833	
7042.150507	-1.526970	
7042.152241	-1.526841	
7042.153757	-1.526954	
7042.155479	-1.526906	
7042.157018	-1.526841	
7042.158724	-1.526902	
7042.160272	-1.526906	
7042.161952	-1.526898	
7042.163508	-1.526821	
7042.165157	-1.526861	
7042.166753	-1.526833	
7042.168389	-1.526865	
7042.169984	-1.526692	
7042.171613	-1.526902	
7042.173230	-1.526672	
7042.174846	-1.526841	
7042.176509	-1.526829	
7042.178102	-1.526857	
7042.179776	-1.526604	
7042.181336	-1.526809	
7042.183013	-1.526720	
7042.184580	-1.526664	
7042.186279	-1.526322	
7042.187836	-1.524267	
7042.189546	-1.521963	
7042.191091	-1.506389	
7042.192814	-1.493769	
7042.194317	-1.491896	
7042.196067	-1.472386	
7042.197544	-1.461647	
7042.199332	-1.419502	
7042.200828	-1.509660	
7042.202353	-1.476443	
7042.203894	-1.440825	
7042.205455	-1.389367	
7042.207017	-1.440796	
7042.208519	-1.372399	
7042.210179	-1.347537	
7042.211667	-1.384541	
7042.213283	-1.353801	
7042.214806	-1.321743	
7042.216430	-1.260400	
7042.217926	-1.307177	
7042.219570	-1.213047	
7042.221060	-1.224802	
7042.222675	-1.153440	
7042.224173	-1.193369	
7042.225805	-1.088004	
7042.227292	-1.191008	
7042.228967	-1.001097	
7042.230478	-1.127276	
7042.232116	-0.960709	
7042.233653	-1.092600	
7042.235276	-0.907890	
7042.236868	-1.012513	
7042.238437	-0.884695	
7042.240066	-0.977306	
7042.241610	-0.826723	
7042.243236	-0.895047	
7042.244727	-0.819516	
7042.246435	-0.826026	
7042.248033	-0.677091	
7042.249712	-0.728235	
7042.251287	-0.619414	
7042.252992	-0.688991	
7042.254542	-0.588315	
7042.256240	-0.615953	
7042.257780	-0.522114	
7042.259503	-0.521352	
7042.261016	-0.477637	
7042.262751	-0.440734	
7042.264252	-0.398202	
7042.266021	-0.349565	
7042.267516	-0.374508	
7042.269279	-0.349117	
7042.270758	-0.339748	
7042.272542	-0.270750	
7042.274025	-0.275641	
7042.275770	-0.156954	
7042.277261	-0.228602	
7042.279028	-0.090088	
7042.280544	-0.189971	
7042.282279	-0.046844	
7042.283797	-0.180931	
7042.285504	0.018237	
7042.287034	-0.092538	
7042.288745	0.089925	
7042.290292	-0.027976	
7042.291979	0.194017	
7042.293544	-0.021051	
7042.295222	0.233793	
7042.296804	0.062718	
7042.298460	0.283023	
7042.300036	0.116911	
7042.301693	0.321759	
7042.303293	0.184792	
7042.304911	0.377954	
7042.306541	0.224882	
7042.308128	0.409991	
7042.309806	0.316667	
7042.311402	0.437448	
7042.313055	0.375215	
7042.314634	0.484258	
7042.316318	0.425794	
7042.317880	0.504673	
7042.319591	0.467749	
7042.321127	0.549158	
7042.322840	0.516742	
7042.324375	0.609973	
7042.326103	0.587515	
7042.327602	0.637362	
7042.329365	0.695297	
7042.330851	0.705815	
7042.332646	0.734219	
7042.334123	0.672174	
7042.335929	0.770969	
7042.337405	0.752995	
7042.339153	0.846105	
7042.340636	0.777237	
7042.342376	0.924694	
7042.343876	0.827116	
7042.345645	0.984696	
7042.347161	0.901350	
7042.348893	1.009494	
7042.350416	0.949657	
7042.352130	1.079325	
7042.353667	0.990779	
7042.355346	1.139693	
7042.356897	1.034252	
7042.358593	1.246077	
7042.360192	1.111890	
7042.361684	1.124374	
7042.363257	1.191316	
7042.364784	1.216244	
7042.366417	1.255910	
7042.367895	1.220127	
7042.369513	1.335313	
7042.370996	1.309096	
7042.372640	1.377888	
7042.374144	1.314567	
7042.375753	1.428762	
7042.377267	1.352421	
7042.378838	1.447820	
7042.380382	1.439070	
7042.381913	1.530263	
7042.383497	1.488941	
7042.385086	1.584811	
7042.386700	1.550349	
7042.388250	1.632760	
7042.389878	1.644925	
7042.391382	1.666340	
7042.393086	1.704021	
7042.394559	1.678163	
7042.396296	1.724549	
7042.397769	1.721439	
7042.399480	1.727079	
7042.400957	1.726728	
7042.402670	1.727268	
7042.404149	1.726648	
7042.405844	1.727256	
7042.407324	1.726882	
7042.409101	1.727945	
7042.410594	1.727445	
7042.412365	1.727997	
7042.413867	1.727590	
7042.415603	1.727949	
7042.417112	1.727474	
7042.418838	1.728102	
7042.420369	1.727719	
7042.422080	1.727977	
7042.423630	1.727594	
7042.425331	1.727373	
7042.426883	1.727546	
7042.428563	1.728030	
7042.430133	1.727663	
7042.431801	1.728066	
7042.433381	1.727699	
7042.435020	1.728146	
7042.436628	1.727925	
7042.438243	1.728255	
7042.439869	1.727627	
7042.441473	1.728179	
7042.443131	1.727570	
7042.444744	1.728098	
7042.446427	1.727643	
7042.447998	1.728134	
7042.449688	1.727756	
7042.451247	1.728110	
7042.452957	1.727840	
7042.454521	1.728018	
7042.456192	1.727804	
7042.457737	1.728030	
7042.459456	1.727667	
7042.460960	1.728110	
7042.462714	1.727788	
7042.464192	1.728086	
7042.465952	1.727925	
7042.467436	1.727788	
7042.469203	1.727937	
7042.470681	1.728058	
7042.472446	1.727917	
7042.473939	1.727876	
7042.475727	1.728138	
7042.477222	1.728005	
7042.478979	1.728001	
7042.480488	1.728062	
7042.482211	1.728279	
7042.483734	1.727820	
7042.485457	1.727852	
7042.487001	1.727985	
7042.488723	1.728163	
7042.490267	1.727917	
7042.491949	1.728279	
7042.493506	1.727961	
7042.495180	1.728207	
7042.496756	1.727828	
7042.498411	1.728183	
7042.500016	1.727820	
7042.501645	1.728223	
7042.503250	1.727961	
7042.504881	1.728307	
7042.506509	1.727635	
7042.508114	1.728163	
7042.509766	1.727828	
7042.511357	1.728187	
7042.513047	1.727868	
7042.514617	1.728179	
7042.516310	1.727860	
7042.517784	1.728025	
7042.519349	1.728009	
7042.520852	1.727905	
7042.522407	1.727836	
7042.523944	1.727901	
7042.525518	1.728054	
7042.527068	1.728017	
7042.528604	1.727953	
7042.530215	1.728001	
7042.531703	1.728038	
7042.533361	1.727961	
7042.534876	1.728001	
7042.536529	1.727921	
7042.538017	1.728062	
7042.539646	1.728090	
7042.541123	1.727917	
7042.542762	1.728066	
7042.544248	1.728046	
7042.545940	1.728106	
7042.547434	1.727985	
7042.549139	1.728134	
7042.550630	1.728042	
7042.552312	1.728062	
7042.553811	1.727816	
7042.555467	1.728130	
7042.556991	1.727917	
7042.558615	1.728110	
7042.560198	1.727989	
7042.561779	1.728174	
7042.563381	1.727776	
7042.565025	1.727981	
7042.566634	1.727893	
7042.568260	1.728271	
7042.569874	1.727586	
7042.571491	1.728191	
7042.573147	1.727868	
7042.574764	1.728066	
7042.576432	1.727574	
7042.578016	1.728114	
7042.579712	1.727824	
7042.581278	1.728175	
7042.582974	1.727099	
7042.584552	1.728183	
7042.586256	1.727776	
7042.587807	1.728034	
7042.589528	1.727135	
7042.591074	1.727893	
7042.592796	1.727667	
7042.594315	1.727671	
7042.596062	1.727147	
7042.597572	1.727768	
7042.599306	1.725552	
7042.600790	1.727272	
7042.602587	1.726938	
7042.604067	1.725403	
7042.605856	1.725947	
7042.607337	1.715296	
7042.609099	1.727321	
7042.610577	1.721895	
7042.612324	1.727433	
7042.613834	1.721093	
7042.615562	1.719550	
7042.617096	1.659617	
7042.618817	1.725174	
7042.620340	1.651230	
7042.622034	1.724682	
7042.623592	1.643850	
7042.625274	1.725162	
7042.626827	1.642887	
7042.628509	1.720654	
7042.630101	1.604646	
7042.631769	1.710095	
