time (s)	magX	magY	magZ
3884.050550	-267.036804	-169.316177	146.230286
3884.053879	-267.270599	-169.783752	146.464066
3884.057212	-267.562805	-170.952652	145.996506
3884.060548	-266.919922	-170.251312	146.697845
3884.063883	-267.562805	-170.660431	146.697845
3884.067217	-267.796600	-171.303329	147.632965
3884.070576	-267.855042	-170.777313	148.275864
3884.073878	-268.439514	-171.829346	148.626526
3884.077211	-269.316193	-171.829346	148.334320
3884.080546	-269.549957	-172.413788	149.561661
3884.083885	-269.959106	-172.589127	150.087662
3884.087211	-269.900635	-172.822922	150.379898
3884.090547	-270.485077	-173.816483	151.022797
3884.093881	-270.894226	-174.108704	152.600815
3884.097208	-271.829346	-174.342484	153.360611
3884.100568	-272.530670	-174.868500	154.646408
3884.103878	-272.822906	-175.862076	155.932205
3884.107207	-273.348938	-175.978958	156.867325
3884.110556	-274.634705	-176.154297	158.270020
3884.113889	-274.810059	-176.738754	159.146698
3884.117209	-276.037415	-177.966110	160.783173
3884.120546	-276.797211	-178.959671	162.419647
3884.123873	-277.264771	-179.193451	164.465225
3884.127213	-278.608978	-179.953247	165.809464
3884.130542	-279.251923	-180.303925	167.036819
3884.133877	-279.602570	-180.946808	169.140854
3884.137211	-281.005249	-181.648163	170.601990
3884.140538	-282.758606	-182.291061	172.121567
3884.143899	-283.869080	-182.700180	174.108704
3884.148566	-286.031555	-184.628876	178.959671
3884.151423	-287.142029	-185.271774	181.355927
3884.154795	-288.310944	-186.206894	183.050842
3884.158162	-290.122711	-186.966675	185.154877
3884.161389	-290.356506	-187.609589	186.908249
3884.164724	-291.466980	-187.901810	188.836929
3884.168071	-293.512573	-189.304489	190.531845
3884.171416	-294.038574	-189.246063	192.752777
3884.174295	-295.558136	-190.824081	195.675034
3884.177653	-296.434845	-191.174759	197.779068
3884.180986	-297.779083	-192.577438	200.818222
3884.184319	-299.181763	-193.337219	202.746933
3884.187693	-301.110474	-193.687897	206.019882
3884.190961	-302.454712	-194.681473	208.474564
3884.193869	-304.091156	-195.558151	212.331970
3884.197197	-305.026306	-197.077728	214.085342
3884.200549	-306.370544	-197.369965	217.007584
3884.203865	-308.474579	-198.947983	220.397430
3884.207205	-310.052612	-199.824661	222.969025
3884.210526	-311.104614	-201.285797	226.066635
3884.213868	-312.273529	-201.987152	229.748672
3884.217198	-313.617767	-203.272934	233.255417
3884.220532	-315.312683	-204.324966	236.820572
3884.223864	-316.773834	-205.435425	239.976624
3884.227196	-318.702515	-207.247238	243.483353
3884.230550	-320.338989	-208.240799	248.860306
3884.233870	-322.326141	-209.000580	253.009933
3884.237197	-323.728821	-210.929276	257.218018
3884.240530	-325.832855	-211.805969	261.952057
3884.243866	-327.644653	-212.857986	266.101685
3884.247195	-328.930450	-213.793106	271.887787
3884.250531	-329.807129	-215.663361	276.154297
3884.253872	-332.378723	-216.481598	280.771484
3884.257197	-334.716522	-217.533615	285.856232
3884.260528	-336.294556	-218.527176	292.051422
3884.263860	-337.638794	-219.754532	297.311523
3884.267198	-339.392151	-220.397430	302.746948
3884.270525	-341.379303	-221.858566	308.825256
3884.273890	-343.249573	-222.618347	314.143768
3884.277193	-345.061371	-224.313263	320.280518
3884.280525	-346.697845	-226.125076	326.826416
3884.283866	-348.626556	-226.534195	333.138519
3884.287195	-349.795441	-227.177094	339.801300
3884.290528	-352.308594	-228.521317	346.580963
3884.293856	-353.535950	-228.930450	353.009949
3884.297189	-355.289307	-230.800705	359.789581
3884.300523	-356.516663	-231.209824	366.160126
3884.303853	-357.802460	-231.618927	372.822906
3884.307188	-359.029816	-232.963181	379.602570
3884.311475	-363.004089	-234.073639	394.155457
3884.314806	-363.997681	-235.008759	401.811798
3884.318046	-365.166565	-235.768555	409.643494
3884.321379	-366.803040	-236.820572	417.475189
3884.324706	-368.556396	-237.638809	425.189911
3884.328067	-368.673309	-237.872604	433.196960
3884.331393	-370.134430	-238.749268	441.087097
3884.334792	-370.777313	-239.216827	449.210968
3884.337635	-371.127991	-239.567490	458.094696
3884.340967	-372.238434	-240.093521	466.452362
3884.344276	-372.530670	-240.619522	475.043823
3884.347633	-372.998230	-240.327286	485.330200
3884.350945	-373.933350	-241.028641	494.856781
3884.354309	-373.641144	-241.320877	502.863831
3884.357608	-373.758026	-241.613098	512.799561
3884.360518	-373.232025	-241.846878	523.202820
3884.363847	-373.582703	-241.788437	531.969604
3884.367180	-373.582703	-241.087082	541.846924
3884.370520	-372.180023	-241.028641	552.776123
3884.373850	-372.413788	-240.444183	562.828735
3884.377184	-370.777313	-239.625961	572.647583
3884.380514	-370.601990	-239.216827	583.109253
3884.383846	-368.614838	-238.047928	593.454102
3884.387207	-367.796600	-237.288147	604.850952
3884.390521	-365.984802	-235.826996	614.962036
3884.393851	-364.465240	-234.774994	626.767944
3884.397212	-362.419617	-233.547638	637.755676
3884.400514	-360.198700	-231.560486	648.977173
3884.403858	-357.510223	-230.157806	659.906494
3884.407180	-354.412628	-227.878433	671.011108
3884.410515	-351.841034	-225.774414	681.589722
3884.413839	-348.918762	-224.021027	693.103455
3884.417182	-346.054932	-221.157211	703.915833
3884.420515	-341.846863	-218.644073	715.137329
3884.423844	-338.515503	-215.838699	725.599060
3884.427178	-334.307434	-212.215088	735.593201
3884.430512	-329.222687	-209.175919	746.464050
3884.433842	-325.306854	-206.195206	756.399780
3884.437183	-320.514313	-202.805374	766.160156
3884.440542	-316.306244	-199.649323	777.381653
3884.443844	-310.695496	-195.149048	787.960266
3884.447174	-305.026306	-190.765625	797.428406
3884.450507	-299.532440	-187.258911	807.071899
3884.453875	-293.629456	-183.693741	816.949158
3884.457177	-287.609589	-179.251892	825.949768
3884.460514	-281.005249	-174.342484	834.716492
3884.463841	-274.576294	-169.549973	844.126221
3884.467179	-267.212158	-164.699005	851.899414
3884.470508	-260.432495	-159.906479	861.601440
3884.473838	-253.302170	-155.055527	869.140808
3884.478481	-236.820572	-144.184692	883.693787
3884.481388	-228.404449	-138.866165	890.531799
3884.484757	-220.338989	-133.372299	898.246643
3884.488094	-211.805969	-127.761543	905.961426
3884.491438	-202.746933	-122.092346	912.215027
3884.494699	-193.512573	-115.780243	918.118103
3884.498023	-183.927521	-109.818817	923.670410
3884.501351	-174.517822	-102.805374	928.988953
3884.504267	-164.406769	-96.493279	932.846252
3884.507619	-154.120392	-89.538284	937.931030
3884.510929	-144.009354	-82.933960	941.963745
3884.514294	-133.313843	-76.154297	945.412048
3884.517624	-122.618355	-69.082413	948.684998
3884.520953	-111.279953	-61.776741	952.367004
3884.524269	-100.876678	-54.471069	954.646423
3884.527188	-89.479836	-47.516071	956.516663
3884.530503	-78.375221	-39.918175	956.984253
3884.533834	-67.562828	-32.203392	959.146667
3884.537163	-56.282879	-24.897720	959.088257
3884.540501	-45.002922	-17.708942	958.153137
3884.543833	-34.132088	-9.643483	957.860962
3884.547169	-22.443016	-2.454705	956.867310
3884.550500	-11.046172	5.844535	953.594421
3884.553833	0.759790	12.682642	952.717712
3884.557165	11.864407	20.514320	949.561707
3884.560500	22.793688	27.703098	946.756287
3884.563827	34.132088	35.417885	943.249634
3884.567171	44.418468	42.489773	940.853333
