time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4292.020803	182.033478	-0.008740	0.005024	17
4311.003125	33.459515	-0.296908	-0.100000	19
4313.056655	216.821442	-0.862236	0.017166	21
4315.105666	216.810318	-0.826656	0.018420	23
4317.147876	216.721130	-0.795419	0.019294	25
4319.188068	216.816986	-0.761881	0.018684	27
4321.225903	217.072006	-0.726459	0.019065	29
4323.271133	217.057785	-0.687608	0.019350	31
4325.321057	216.782639	-0.651978	0.020374	33
4327.376750	216.355331	-0.618329	0.019643	35
4329.431260	216.130600	-0.588307	0.019383	37
4331.481603	216.020004	-0.560779	0.019089	39
4333.533711	216.141235	-0.535736	0.018611	41
4335.583000	216.350784	-0.512451	0.018373	43
4337.627987	216.531967	-0.488707	0.018011	45
4339.674751	216.711395	-0.467809	0.018314	47
4341.718494	216.846466	-0.444057	0.017898	49
4343.761313	216.902390	-0.421782	0.017761	51
4345.799860	216.901566	-0.401875	0.017279	53
4347.855866	217.010193	-0.380956	0.016974	55
4349.900689	217.192734	-0.362047	0.016483	57
4351.959926	217.450409	-0.342756	0.016246	59
4354.012887	217.264893	-0.325074	0.016578	61
4356.066991	217.456146	-0.309090	0.016584	63
