crossing time (s)	slope (V/s)	crossing number
4410.082688	56.462076	8829
4411.075269	46.692202	8830
4412.046461	42.059599	8831
4413.053883	45.277021	8832
4414.203197	42.134873	8833
4415.198762	44.168612	8834
4416.171894	37.860041	8835
4417.160124	37.684288	8836
4418.243026	36.349920	8837
4419.213488	32.839120	8838
4420.262255	32.636321	8839
4421.285903	32.098343	8840
4422.331981	27.939166	8841
4423.307233	26.326260	8842
4424.372668	27.080680	8843
4425.386318	25.839018	8844
4426.391672	24.153787	8845
4427.437191	25.757754	8846
4428.473680	23.112259	8847
4429.436480	21.827081	8848
4430.535149	20.338741	8849
4431.527651	18.673294	8850
4432.562616	15.909368	8851
4433.578392	15.066619	8852
4434.589197	14.394578	8853
4435.628518	17.785494	8854
4436.612238	15.425598	8855
4437.601683	13.487530	8856
4438.717502	11.454458	8857
4439.606250	10.384675	8858
4440.712610	9.672931	8859
4441.722327	14.153059	8860
4442.813040	10.743900	8861
4443.715272	10.003172	8862
4444.908237	7.267475	8863
4445.797132	10.351195	8864
4446.933660	10.048215	8865
4447.813976	6.209136	8866
4448.930456	9.797857	8867
4449.972992	4.274835	8868
4450.989800	8.946702	8869
4452.045522	6.150050	8870
4453.036260	10.272872	8871
4454.059536	5.988881	8872
4455.087707	3.717998	8873
4455.953198	8.003833	8874
4457.193394	6.143934	8875
4458.034151	6.373422	8876
4459.198527	5.065042	8877
4460.179022	-0.159127	8878
4461.210333	4.840854	8879
